file,rank,score,inlier_weight_frac,mae_in_deg_weighted,mae_all_deg_weighted,dir_vx,dir_vy,dir_vz,dir_az_deg,dir_el_deg,Lx,Ly,Lz,num_inliers,angle_thresh_deg,n_iters,N
The-Lesson_1874_0_ev-25_points.json.gz,1,0.249468526,0.256018967,1.026256583,14.23313232,-0.855803337,0.363262795,-0.368294434,157.0002365,-21.61046904,0.054573427,-0.000191254,0.000404677,97606,4,600,416751
The-Lesson_1874_0_ev-25_points.json.gz,2,0.135773998,0.284206862,2.093233834,11.98877952,-0.465004155,0.741609452,-0.483514795,122.0885455,-28.91521155,0.06150158,-0.001365318,0.000951482,98272,4,600,416751
The-Lesson_1874_0_ev-25_points.json.gz,3,0.080477661,0.138019769,1.715006204,13.00871023,-0.033178862,0.644936173,-0.763515878,92.94499587,-49.77513804,0.069974477,-0.00076292,0.000952845,56915,4,600,416751
The-Lesson_1874_0_ev-00_points.json.gz,1,0.334467985,0.358490522,1.071822129,11.86834414,-0.899253755,0.046250153,-0.434975409,177.0557747,-25.78372915,0.05451887,2.74E-06,0.000422979,138366,4,600,416751
The-Lesson_1874_0_ev-00_points.json.gz,2,0.111568079,0.254925164,2.28492822,10.53995596,-0.601369794,0.551239191,-0.578350867,137.4904048,-35.33463481,0.060994262,-0.001860828,0.001332418,101423,4,600,416751
The-Lesson_1874_0_ev-00_points.json.gz,3,0.076262969,0.154181862,2.021712359,12.06191305,-0.055145222,0.653313696,-0.755076301,94.82481328,-49.03203719,0.070279455,-0.000660237,0.000887956,67075,4,600,416751
The-Lesson_1874_0_ev-50_points.json.gz,1,0.261536882,0.22882805,0.874935063,13.86044015,-0.860699951,0.366012265,-0.35387938,156.9623985,-20.72477981,0.054330871,-0.000235243,0.000355142,80383,4,600,416751
The-Lesson_1874_0_ev-50_points.json.gz,2,0.150863922,0.376920608,2.498413475,11.07951662,-0.49483587,0.707628453,-0.504380247,124.9646204,-30.29022044,0.06322701,-0.005037469,0.00354427,98004,4,600,416751
The-Lesson_1874_0_ev-50_points.json.gz,3,0.069232587,0.141265774,2.040451036,12.64521514,-0.04584699,0.614733013,-0.787401661,94.26524171,-51.94335142,0.071074667,-0.001187122,0.001590912,65676,4,600,416751
Autoportrait-au-chevalet_1878_0_ev-25_points.json.gz,1,0.748693278,0.568266975,0.759010723,8.111369556,-0.929371463,-0.06591307,-0.363213644,-175.9432498,-21.29768861,0.053432175,0.000148674,0.000252367,164773,4,600,416751
Autoportrait-au-chevalet_1878_0_ev-25_points.json.gz,2,0.112247931,0.201459288,1.794769611,11.02989691,-0.220747815,0.022433504,-0.97507289,174.197236,-77.1802401,0.070271839,-0.000133358,0.004383826,105838,4,600,416751
Autoportrait-au-chevalet_1878_0_ev-25_points.json.gz,3,0.076869964,0.154802337,2.013819862,9.326391427,-0.670637468,0.258714365,-0.695206634,158.9046922,-44.04368557,0.061726534,-0.002065264,0.005347922,65973,4,600,416751
Autoportrait-au-chevalet_1878_0_ev-00_points.json.gz,1,0.475728548,0.456352129,0.959269008,5.576284263,-0.892146507,0.046971659,-0.449297532,176.9861506,-26.69862329,0.054290827,-1.04E-05,0.000312075,159652,4,600,416751
Autoportrait-au-chevalet_1878_0_ev-00_points.json.gz,2,0.167878339,0.355721147,2.118921246,4.944957553,-0.574950979,-0.17677264,-0.798863446,-162.9095937,-53.02170609,0.060205746,0.000204333,0.00101594,155471,4,600,416751
Autoportrait-au-chevalet_1878_0_ev-00_points.json.gz,3,0.163613683,0.233232185,1.425504376,8.734075895,-0.032004971,0.008464802,-0.999451864,165.1854025,-88.10285058,0.069932744,-6.67E-05,0.002592461,112740,4,600,416751
At-the-Ball_1875_0_ev-00_points.json.gz,1,0.156679171,0.227534092,1.452228361,14.67654945,-0.136065861,0.346928107,-0.927969272,111.4152057,-68.12044244,0.069045048,-9.66E-06,0.000761848,89880,4,600,416751
At-the-Ball_1875_0_ev-00_points.json.gz,2,0.146989631,0.203181995,1.382286946,14.73815083,-0.093472626,0.962028157,-0.256446276,95.54955555,-14.85930073,0.070266723,-2.28E-05,1.12E-06,85908,4,600,416751
At-the-Ball_1875_0_ev-00_points.json.gz,3,0.142968835,0.253473131,1.772924763,16.97209854,-0.738819264,0.669372488,0.078016455,137.8233272,4.474560593,0.057861377,-0.001740214,-0.000611304,84112,4,600,416751
At-the-Ball_1875_0_ev-25_points.json.gz,1,0.240072408,0.32046526,1.334868187,17.35737691,-0.679497338,0.693456396,0.2395863,134.417484,13.86212476,0.05732254,-0.00186248,-0.000572345,80189,4,600,416751
At-the-Ball_1875_0_ev-25_points.json.gz,2,0.125702311,0.211059771,1.679043479,22.07590925,-0.157205531,0.027427279,-0.98718497,170.1033523,-80.81747067,0.06910364,-0.000541416,0.019495695,79202,4,600,416751
At-the-Ball_1875_0_ev-25_points.json.gz,3,0.109009257,0.263305767,2.415443108,16.4201558,-0.57833523,0.646078173,-0.498107776,131.8332333,-29.87489022,0.06165042,-0.001082256,-0.001520137,75709,4,600,416751
At-the-Ball_1875_0_ev-50_points.json.gz,1,0.230672471,0.234799337,1.017889587,14.4041651,-0.112292121,0.09667418,-0.988961365,139.2742849,-81.47890082,0.067403753,-3.55E-05,0.001005106,54234,4,600,416751
At-the-Ball_1875_0_ev-50_points.json.gz,2,0.213229656,0.260163249,1.220107187,15.6368966,-0.687346761,0.686718142,0.23658534,135.0262121,13.68509159,0.057444298,-0.002188518,-0.00072189,73290,4,600,416751
At-the-Ball_1875_0_ev-50_points.json.gz,3,0.139513539,0.367742808,2.635892342,14.59939218,-0.721540992,0.622305403,-0.303503841,139.2233095,-17.66817403,0.060220264,-0.001985516,-0.001734832,84408,4,600,416751
Before-the-Theatre_1875_0_ev-00_points.json.gz,1,0.259508465,0.321704715,1.239668444,12.1898954,-0.960498866,-0.270778628,-0.064193954,-164.2560822,-3.680573459,0.057103954,0.001061292,3.56E-08,89813,4,600,416751
Before-the-Theatre_1875_0_ev-00_points.json.gz,2,0.182498468,0.346605212,1.899221586,11.17182385,-0.876161581,0.44287091,-0.190279377,153.1849009,-10.96908874,0.061456917,-0.000799567,6.14E-05,96105,4,600,416751
Before-the-Theatre_1875_0_ev-00_points.json.gz,3,0.131823608,0.260137235,1.973372649,11.3134579,-0.526458798,0.841347857,-0.122372046,122.0355583,-7.029019933,0.063035061,-0.002153828,0.000150803,72088,4,600,416751
Autoportrait-au-chevalet_1878_0_ev-50_points.json.gz,1,0.484129462,0.430074945,0.888345979,6.349765169,-0.895070868,-0.024954435,-0.445225132,-178.4030164,-26.43774352,0.054118488,6.00E-05,0.000465205,133216,4,600,416751
Autoportrait-au-chevalet_1878_0_ev-50_points.json.gz,2,0.230502927,0.308661304,1.339076589,7.790411418,-0.009672716,0.019096721,-0.999770851,116.8627562,-88.77339357,0.070457274,-3.99E-05,0.001630633,146478,4,600,416751
Autoportrait-au-chevalet_1878_0_ev-50_points.json.gz,3,0.12820184,0.206633503,1.611781657,5.736901921,-0.724294974,-0.528967456,-0.442255833,-143.8585788,-26.24790098,0.058834089,0.002398448,0.002124609,74081,4,600,416751
Before-the-Theatre_1875_0_ev-25_points.json.gz,1,0.344180505,0.411075702,1.194359795,9.889792984,-0.977038595,-0.149365868,-0.151938874,-171.3081395,-8.739303908,0.056961335,0.000877477,-5.33E-06,95039,4,600,416751
Before-the-Theatre_1875_0_ev-25_points.json.gz,2,0.262282686,0.496349114,1.892419434,9.398924923,-0.874761049,0.411080249,-0.256527068,154.8295573,-14.86408993,0.060335144,-0.001011725,0.000165447,111862,4,600,416751
Before-the-Theatre_1875_0_ev-25_points.json.gz,3,0.153581513,0.279711062,1.821253765,10.19278219,-0.373306315,0.90097143,-0.221117339,112.5060644,-12.77466818,0.06447434,-0.000438455,9.56E-05,64605,4,600,416751
Before-the-Theatre_1875_0_ev-50_points.json.gz,1,0.31923916,0.486977112,1.525429376,10.15225889,-0.941789086,-0.243145042,-0.232193466,-165.5238484,-13.42624475,0.057483032,0.001049539,-4.63E-05,156755,4,600,416751
Before-the-Theatre_1875_0_ev-50_points.json.gz,2,0.258627608,0.492154781,1.902946584,9.807993662,-0.847362434,0.228174726,-0.479492648,164.9290728,-28.65227128,0.060401788,-6.53E-05,6.05E-05,155081,4,600,416751
Before-the-Theatre_1875_0_ev-50_points.json.gz,3,0.184726717,0.341194355,1.847021242,10.29279726,-0.519345195,0.675143306,-0.52389129,127.5688155,-31.5936354,0.062918671,-0.000852576,0.00028531,115407,4,600,416751
Children-at-the-Basin_1886_0_ev-00_points.json.gz,1,0.495154715,0.454335163,0.917561024,8.278824431,-0.918597637,0.035226952,-0.393620937,177.803862,-23.17999317,0.05405106,1.80E-05,0.000220331,174382,4,600,416752
Children-at-the-Basin_1886_0_ev-00_points.json.gz,2,0.158672442,0.375260966,2.365003037,7.650392438,-0.680232553,0.46088583,-0.569971864,145.8807276,-34.74826376,0.059869908,-0.001728891,0.00202542,151081,4,600,416752
Children-at-the-Basin_1886_0_ev-00_points.json.gz,3,0.086648958,0.18104172,2.089368845,9.444545356,-0.191261283,0.59953577,-0.777158917,107.6934959,-51.00117955,0.068047489,-0.000805616,0.001039716,78757,4,600,416752
Children-at-the-Basin_1886_0_ev-25_points.json.gz,1,0.615802459,0.515548222,0.837196408,7.066752669,-0.901658553,0.077649754,-0.425420227,175.0779003,-25.17726532,0.05390339,-2.98E-05,0.000305911,156635,4,600,416751
Children-at-the-Basin_1886_0_ev-25_points.json.gz,2,0.145026308,0.294769947,2.032526419,7.310407184,-0.665820332,0.559147898,-0.494000925,139.9768645,-29.60389174,0.060265445,-0.002953036,0.002281996,97368,4,600,416751
Children-at-the-Basin_1886_0_ev-25_points.json.gz,3,0.083135836,0.179158325,2.155006195,8.971502191,-0.311795756,0.397075355,-0.86320019,128.1400909,-59.6778216,0.066386837,-0.000799787,0.001868465,97256,4,600,416751
Choir-Boy_1894_0_ev-00_points.json.gz,1,0.479132911,0.472152722,0.985430622,12.42558452,-0.892132631,0.00076654,-0.45177293,179.9507702,-26.85749032,0.054321505,8.14E-06,0.000299529,166858,4,600,416751
Choir-Boy_1894_0_ev-00_points.json.gz,2,0.155858406,0.285381996,1.831032717,12.21793189,-0.708771101,0.490782634,-0.50673063,145.2996582,-30.446303,0.058800659,-0.001962394,0.001421279,107768,4,600,416751
Choir-Boy_1894_0_ev-00_points.json.gz,3,0.12691829,0.278199767,2.191958625,12.28816864,-0.542796726,0.108694233,-0.832800863,168.6763776,-56.38753866,0.061539079,6.11E-05,0.001242621,128283,4,600,416751
Children-at-the-Basin_1886_0_ev-50_points.json.gz,1,0.558939358,0.488432035,0.873854148,5.356051279,-0.857190573,0.133681332,-0.497346583,171.1359601,-29.82460604,0.054282798,-0.000131447,0.000474508,145746,4,600,416751
Children-at-the-Basin_1886_0_ev-50_points.json.gz,2,0.141207002,0.297753839,2.108632666,5.089174646,-0.476400709,0.234850277,-0.847282545,153.7581805,-57.91732277,0.06161841,-0.000416812,0.001517611,151302,4,600,416751
Children-at-the-Basin_1886_0_ev-50_points.json.gz,3,0.057088732,0.116496327,2.040617591,11.85033745,0.036181384,0.443117846,-0.89573293,85.33205007,-63.60272805,0.073275938,-0.000980182,0.002042618,62845,4,600,416751
Choir-Boy_1894_0_ev-25_points.json.gz,1,0.500170803,0.459108345,0.917902129,13.64364546,-0.871947464,0.051086195,-0.486926914,176.6469527,-29.1387959,0.054226693,3.37E-05,0.000365296,150409,4,600,416751
Choir-Boy_1894_0_ev-25_points.json.gz,2,0.143899218,0.313172677,2.176332418,13.6476897,-0.611935281,0.49304209,-0.618421143,141.1412757,-38.20092941,0.061135633,-0.002933621,0.003436717,108512,4,600,416751
Choir-Boy_1894_0_ev-25_points.json.gz,3,0.077129816,0.179791257,2.331020477,16.0243206,-0.483537942,-0.019239316,-0.87511194,-177.7214809,-61.05822647,0.065990273,0.000308277,0.010677707,83675,4,600,416751
Conversation_1891_0_ev-00_points.json.gz,1,0.291034674,0.307572882,1.056824561,10.57420637,-0.94929108,0.197166221,-0.244891662,168.2665822,-14.17543137,0.054449351,-8.75E-05,0.000279337,127923,4,600,416751
Conversation_1891_0_ev-00_points.json.gz,2,0.138064494,0.303511995,2.198333886,8.711445391,-0.687638625,0.650578713,-0.322335942,136.5863148,-18.80425171,0.061604737,-0.000938054,0.000358181,125541,4,600,416751
Conversation_1891_0_ev-00_points.json.gz,3,0.095380819,0.193968684,2.033622605,9.575981703,-0.299378932,0.683559057,-0.665672045,113.6520167,-41.7339035,0.068010239,-0.000386248,0.000299578,80535,4,600,416751
Choir-Boy_1894_0_ev-50_points.json.gz,1,0.583876987,0.538030957,0.921478985,8.975704683,-0.866086358,0.016877516,-0.499609418,178.8836124,-29.97416267,0.054309075,4.45E-06,0.000424847,163279,4,600,416751
Choir-Boy_1894_0_ev-50_points.json.gz,2,0.14510377,0.309823884,2.135187374,9.604957487,-0.494534688,0.083188175,-0.865167712,170.4513816,-59.9018613,0.062243269,-0.000183295,0.001927547,161692,4,600,416751
Choir-Boy_1894_0_ev-50_points.json.gz,3,0.065256703,0.122949654,1.884091326,11.50969581,-0.602614911,0.553904047,-0.574495932,137.4117878,-35.06433963,0.062843082,-0.004983213,0.005007353,50896,4,600,416751
Conversation_1891_0_ev-25_points.json.gz,1,0.330473713,0.280402355,0.848485109,12.57753617,-0.96268012,0.114320281,-0.24531176,173.2277217,-14.2002585,0.053714695,-5.11E-05,0.000185183,118030,4,600,416751
Conversation_1891_0_ev-25_points.json.gz,2,0.143276472,0.294800718,2.057564442,10.79218116,-0.72718166,0.568282698,-0.385047541,141.9928516,-22.6466917,0.05965024,-0.002647195,0.001229555,111209,4,600,416751
Conversation_1891_0_ev-25_points.json.gz,3,0.09062106,0.185493168,2.046909164,10.71095853,-0.389756066,0.40888331,-0.825169466,133.6280405,-55.60567638,0.067142915,-0.000444579,0.00024871,71638,4,600,416751
Conversation_1891_0_ev-50_points.json.gz,1,0.276385619,0.251415898,0.909655223,13.18090395,-0.953396012,0.234235101,-0.19018402,166.1966799,-10.96352361,0.054107111,-0.000119947,0.00015703,102420,4,600,416751
Conversation_1891_0_ev-50_points.json.gz,2,0.149538102,0.341099591,2.281020261,11.06926286,-0.68301947,0.671484607,-0.287389675,135.4879151,-16.70174403,0.060978705,-0.003729207,0.000939468,112017,4,600,416751
Conversation_1891_0_ev-50_points.json.gz,3,0.082473523,0.168075536,2.037932267,11.04949588,-0.375163268,0.558360738,-0.73992284,123.8972021,-47.72484311,0.067102029,-0.000422444,0.000199419,66077,4,600,416751
Eugene-Manet-on-the-Isle-of-Wight_1875_0_ev-00_points.json.gz,1,0.405222496,0.360399821,0.889386497,9.786273109,-0.879376355,0.041853114,-0.474284243,177.275116,-28.31275739,0.05415609,6.38E-07,0.000338889,139575,4,600,416751
Eugene-Manet-on-the-Isle-of-Wight_1875_0_ev-00_points.json.gz,2,0.175333272,0.423542375,2.415640766,8.487134118,-0.579261633,0.397282079,-0.71177448,145.5560256,-45.37947588,0.060936055,-0.001475899,0.00244371,164348,4,600,416751
Eugene-Manet-on-the-Isle-of-Wight_1875_0_ev-00_points.json.gz,3,0.075692649,0.134174971,1.772627808,11.88090029,-0.043314444,0.494966544,-0.867831769,95.00120416,-60.20764637,0.070198439,-0.000307655,0.000562051,60046,4,600,416751
Eugene-Manet-on-the-Isle-of-Wight_1875_0_ev-25_points.json.gz,1,0.550318709,0.568315729,1.032701905,4.353444891,-0.854739387,0.04784327,-0.516847756,176.7962632,-31.12104171,0.054720014,-5.56E-05,0.000577142,169833,4,600,416751
Eugene-Manet-on-the-Isle-of-Wight_1875_0_ev-25_points.json.gz,2,0.16784311,0.346194891,2.062609078,4.908861111,-0.46587394,0.133705721,-0.874690947,163.9865323,-61.00842033,0.061838379,-0.000123362,0.001057923,184921,4,600,416751
Eugene-Manet-on-the-Isle-of-Wight_1875_0_ev-25_points.json.gz,3,0.08639631,0.163092691,1.887726508,5.293559692,-0.666978651,-0.531504721,-0.522151522,-141.4492138,-31.47668229,0.060138061,0.00285367,0.00257244,83575,4,600,416751
Getting-Up_1885-1886_0_ev-00_points.json.gz,1,0.57240897,0.477827812,0.834765464,15.9947253,-0.944284827,0.061829649,-0.323269639,176.2537488,-18.86077448,0.053578287,3.56E-05,0.000108681,171472,4,600,416751
Getting-Up_1885-1886_0_ev-00_points.json.gz,2,0.141350381,0.265993407,1.881800835,15.84283974,-0.722705628,0.580155542,-0.375654259,141.2440718,-22.0647558,0.059033573,-0.002405931,0.001614085,97934,4,600,416751
Getting-Up_1885-1886_0_ev-00_points.json.gz,3,0.039065167,0.075100032,1.922428577,42.04251915,0.725949651,0.025161778,-0.687287414,1.985105681,-43.4157659,0.09941638,0.000101122,-0.000299267,37000,4,600,416751
Eugene-Manet-on-the-Isle-of-Wight_1875_0_ev-50_points.json.gz,1,0.765244676,0.553244399,0.722963062,4.445730077,-0.853926386,0.051131097,-0.517875794,176.5733552,-31.18987149,0.054003709,-4.57E-05,0.000547741,130783,4,600,416751
Eugene-Manet-on-the-Isle-of-Wight_1875_0_ev-50_points.json.gz,2,0.13250659,0.281522551,2.12459184,5.076970302,-0.466538267,0.072828676,-0.881497606,171.1274845,-61.82354976,0.061860761,1.51E-05,0.00150344,173056,4,600,416751
Getting-Up_1885-1886_0_ev-25_points.json.gz,1,0.735639192,0.544085082,0.739607613,15.92783553,-0.956770179,0.059715118,-0.284648784,176.4286178,-16.53785584,0.053170869,1.38E-05,0.000128733,178422,4,600,416751
Getting-Up_1885-1886_0_ev-25_points.json.gz,2,0.116243335,0.200900026,1.728270357,16.24646617,-0.727158963,0.502418158,-0.467777551,145.3581234,-27.89012898,0.05911926,-0.002269285,0.002289213,84654,4,600,416751
